n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns,maxIter,seed
1000,1,1475400,1488945000,63757552600,9568007100,63759028000,11056952100,200,1012651431
1000,2,435300,1503531700,50512334000,8397543700,50512769300,9901075400,200,1012651432
1000,3,372400,1479583500,63578609200,11553797700,63578981600,13033381200,200,1012651433
1000,4,338200,1552504400,67734554900,10018548300,67734893100,11571052700,200,1012651434
1000,5,348400,1458766200,50318785400,10469029800,50319133800,11927796000,200,1012651435
1000,6,342700,1526181200,68914641400,12556815200,68914984100,14082996400,200,1012651436
1000,7,374200,1575937200,51601235700,12846870000,51601609900,14422807200,200,1012651437
1000,8,349100,1448148900,61436809900,13150924400,61437159000,14599073300,200,1012651438
1000,9,389500,1450986500,64463505200,11028947200,64463894700,12479933700,200,1012651439
1000,10,359300,1454857600,48334848100,8950365300,48335207400,10405222900,200,1012651440
1000,11,454200,1473883800,59569569500,11378247400,59570023700,12852131200,200,1012651441
1000,12,380800,1474171800,59981963500,9824485700,59982344300,11298657500,200,1012651442
1000,13,384300,1465430500,59199065700,10049459800,59199450000,11514890300,200,1012651443
1000,14,327900,1461035600,38252842500,13879911400,38253170400,15340947000,200,1012651444
1000,15,392800,1446120300,60422955500,11933770900,60423348300,13379891200,200,1012651445
1000,16,2469700,1468069200,68058223800,11865985100,68060693500,13334054300,200,1012651446
1000,17,348600,1667626200,55832648900,15666873200,55832997500,17334499400,200,1012651447
1000,18,2287800,1509292600,82193362800,17036341400,82195650600,18545634000,200,1012651448
1000,19,472500,2593938700,119767489100,17654120600,119767961600,20248059300,200,1012651449
1000,20,894600,2491615400,78786663900,19494835000,78787558500,21986450400,200,1012651450
1000,21,774800,2356309200,119002872400,17929783700,119003647200,20286092900,200,1012651451
1000,22,479400,2408988700,55504489500,14725145400,55504968900,17134134100,200,1012651452
1000,23,348100,2254741800,113213519600,18527681400,113213867700,20782423200,200,1012651453
1000,24,391200,2547037100,116915645400,19543177000,116916036600,22090214100,200,1012651454
1000,25,408800,2523763700,110060955400,21569079400,110061364200,24092843100,200,1012651455
1000,26,381500,2683709800,91062448200,20216132900,91062829700,22899842700,200,1012651456
1000,27,855300,2642863900,93276078300,13758784900,93276933600,16401648800,200,1012651457
1000,28,462100,2212429500,93674955600,16818287800,93675417700,19030717300,200,1012651458
1000,29,502900,1488107700,53503060400,12294427800,53503563300,13782535500,200,1012651459
1000,30,430700,1473150300,57932686900,11479905100,57933117600,12953055400,200,1012651460
1000,31,481800,1502195400,53074996800,8699249000,53075478600,10201444400,200,1012651461
1000,32,414700,1464737400,51277539000,12974680200,51277953700,14439417600,200,1012651462
1000,33,276900,1476863900,79279546800,9715149600,79279823700,11192013500,200,1012651463
1000,34,291600,1464039200,53549661400,10236400400,53549953000,11700439600,200,1012651464
1000,35,289200,1472899600,70579166500,10609340000,70579455700,12082239600,200,1012651465
