n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns,maxIter,seed
400,1,94100,116070000,3289759700,1131859000,3289853800,1247929000,200,412649631
400,2,52600,114746500,3456161200,1116247500,3456213800,1230994000,200,412649632
400,3,51300,116193600,3452549700,1180284200,3452601000,1296477800,200,412649633
400,4,58300,113550500,3730909400,1169339200,3730967700,1282889700,200,412649634
400,5,50800,112863600,3761482400,1074716000,3761533200,1187579600,200,412649635
400,6,51200,114398700,3607029800,1146650900,3607081000,1261049600,200,412649636
400,7,53500,113588300,3794038300,1195219600,3794091800,1308807900,200,412649637
400,8,56700,114898300,3061281300,913636300,3061338000,1028534600,200,412649638
400,9,57500,111563200,3525558600,1185987500,3525616100,1297550700,200,412649639
400,10,81700,114556700,3766567400,1032449300,3766649100,1147006000,200,412649640
400,11,61300,113488600,4094604700,1191552800,4094666000,1305041400,200,412649641
400,12,51100,119660000,4548353300,1092337700,4548404400,1211997700,200,412649642
400,13,55100,113183300,3563945100,1170683600,3564000200,1283866900,200,412649643
400,14,53900,112756800,3011369400,1083418300,3011423300,1196175100,200,412649644
400,15,48000,114386700,2918217000,1175710000,2918265000,1290096700,200,412649645
400,16,61800,119204600,5747998200,1118972700,5748060000,1238177300,200,412649646
400,17,72100,116194100,3501569800,1131385800,3501641900,1247579900,200,412649647
400,18,48600,110627200,3089331700,1086031000,3089380300,1196658200,200,412649648
400,19,50600,114507800,3731054400,1266723300,3731105000,1381231100,200,412649649
400,20,49200,112634200,3284291300,1232101500,3284340500,1344735700,200,412649650
400,21,67000,113806500,3832770300,1108702500,3832837300,1222509000,200,412649651
400,22,65800,112119500,4314084300,1188955900,4314150100,1301075400,200,412649652
400,23,150800,115667500,3657037300,1061840900,3657188100,1177508400,200,412649653
400,24,50900,115783000,3732507400,1037311600,3732558300,1153094600,200,412649654
400,25,48700,117623900,3362446100,1105390400,3362494800,1223014300,200,412649655
400,26,57700,116148500,3360499800,1214131000,3360557500,1330279500,200,412649656
400,27,111500,113441300,3649630400,1069295600,3649741900,1182736900,200,412649657
400,28,62000,115771600,3912388900,1232269400,3912450900,1348041000,200,412649658
400,29,50600,117870800,3857999600,1119652100,3858050200,1237522900,200,412649659
400,30,45200,115033400,3752770800,1253377200,3752816000,1368410600,200,412649660
400,31,40900,113241900,3999424800,1024993900,3999465700,1138235800,200,412649661
400,32,58700,115077900,4111997700,1128650000,4112056400,1243727900,200,412649662
400,33,45700,116129700,3748175100,940803600,3748220800,1056933300,200,412649663
400,34,60600,111962700,3320690500,1072682000,3320751100,1184644700,200,412649664
400,35,48200,117854200,3270255000,878569800,3270303200,996424000,200,412649665
400,36,46800,117616500,4157928400,987321700,4157975200,1104938200,200,412649666
400,37,51500,116473700,3225262900,1201806200,3225314400,1318279900,200,412649667
400,38,47800,114399300,3164633600,1149353300,3164681400,1263752600,200,412649668
400,39,47200,118904700,3678369900,1152141100,3678417100,1271045800,200,412649669
400,40,43600,114977500,3482781000,1244581700,3482824600,1359559200,200,412649670
400,41,55400,116825400,3557012200,1195638100,3557067600,1312463500,200,412649671
400,42,55700,121162800,3806184700,1190141300,3806240400,1311304100,200,412649672
400,43,44000,114719300,4249404900,1191098400,4249448900,1305817700,200,412649673
400,44,53400,113071500,3717731900,1234935300,3717785300,1348006800,200,412649674
400,45,52900,112946700,2990767700,1248320100,2990820600,1361266800,200,412649675
400,46,40500,112597300,4344432000,1166272600,4344472500,1278869900,200,412649676
400,47,47100,116532600,3742501500,1102572700,3742548600,1219105300,200,412649677
400,48,41500,117052900,3806901600,1219681700,3806943100,1336734600,200,412649678
400,49,42800,113145300,3753350500,1118440400,3753393300,1231585700,200,412649679
400,50,42000,113578600,3576318300,1064796800,3576360300,1178375400,200,412649680
400,51,43500,114299400,3268196800,1083210000,3268240300,1197509400,200,412649681
400,52,50000,114970900,4054509100,1093811300,4054559100,1208782200,200,412649682
400,53,43700,114073100,3712715300,1167406700,3712759000,1281479800,200,412649683
400,54,51700,110731500,3678078100,1125412300,3678129800,1236143800,200,412649684
400,55,48700,128357300,4500815500,1019319900,4500864200,1147677200,200,412649685
400,56,42900,112430300,4059450300,1136566700,4059493200,1248997000,200,412649686
400,57,46100,114030200,3605753000,1021033900,3605799100,1135064100,200,412649687
400,58,45100,114334200,3581616900,1194732300,3581662000,1309066500,200,412649688
400,59,50500,112757700,3310625200,1188470800,3310675700,1301228500,200,412649689
400,60,55100,114946800,3785605600,863981800,3785660700,978928600,200,412649690
400,61,50200,114502200,3170592600,1146241300,3170642800,1260743500,200,412649691
400,62,42200,116140400,3144287900,1187615400,3144330100,1303755800,200,412649692
400,63,50200,117400400,3681644700,1071643800,3681694900,1189044200,200,412649693
400,64,43900,112954000,3702836300,1191195400,3702880200,1304149400,200,412649694
400,65,52400,113814200,3645609500,1079385600,3645661900,1193199800,200,412649695
400,66,47800,117390000,3652870600,1252340000,3652918400,1369730000,200,412649696
400,67,46100,113590300,3829630100,1298987400,3829676200,1412577700,200,412649697
400,68,46700,113356000,3974301300,1064713900,3974348000,1178069900,200,412649698
400,69,48600,113619800,3161391100,1113227800,3161439700,1226847600,200,412649699
400,70,49800,119280800,3339901700,1322204700,3339951500,1441485500,200,412649700
400,71,41300,116389900,3049801400,1026741900,3049842700,1143131800,200,412649701
400,72,45500,114423300,3200938200,996722700,3200983700,1111146000,200,412649702
400,73,47300,115708300,3908893500,986238100,3908940800,1101946400,200,412649703
400,74,47800,110893700,3597276800,1086603400,3597324600,1197497100,200,412649704
400,75,45600,112625900,3420236300,1231400600,3420281900,1344026500,200,412649705
400,76,53400,113331400,3453561200,1083359900,3453614600,1196691300,200,412649706
400,77,56600,113807700,3692774400,1092916400,3692831000,1206724100,200,412649707
400,78,47400,114693200,3625009200,1147382800,3625056600,1262076000,200,412649708
400,79,54400,115339400,3295840900,1243685500,3295895300,1359024900,200,412649709
400,80,45100,112544500,4002672800,950415400,4002717900,1062959900,200,412649710
400,81,70100,116707600,3313436000,1189274800,3313506100,1305982400,200,412649711
400,82,59300,118243500,3726942800,1037870800,3727002100,1156114300,200,412649712
400,83,48600,118915900,3578405700,1142677500,3578454300,1261593400,200,412649713
400,84,47800,117071500,3393153400,1163070900,3393201200,1280142400,200,412649714
400,85,62900,114299900,3192081900,1269591200,3192144800,1383891100,200,412649715
400,86,60600,116591800,4662662100,1065700500,4662722700,1182292300,200,412649716
400,87,51300,112828700,3322110000,1053997300,3322161300,1166826000,200,412649717
400,88,51500,112939600,4009977200,1141068700,4010028700,1254008300,200,412649718
400,89,59300,114805200,3549885000,1238915800,3549944300,1353721000,200,412649719
400,90,43700,114509600,2915839300,1148850200,2915883000,1263359800,200,412649720
400,91,48600,111617600,3843521200,1100834300,3843569800,1212451900,200,412649721
400,92,66700,112660600,3391549300,1052819500,3391616000,1165480100,200,412649722
400,93,44600,113115800,4053271500,1166958500,4053316100,1280074300,200,412649723
400,94,47000,116918900,3022117100,1186477900,3022164100,1303396800,200,412649724
400,95,42300,114756400,3134974800,1126845400,3135017100,1241601800,200,412649725
400,96,49600,114812000,3396515500,1186914900,3396565100,1301726900,200,412649726
400,97,51000,113103800,3691070700,1085212400,3691121700,1198316200,200,412649727
400,98,49200,112264500,4445431900,1003923100,4445481100,1116187600,200,412649728
400,99,47400,117616800,3719302000,930107700,3719349400,1047724500,200,412649729
400,100,48200,117587800,4134447000,1188572200,4134495200,1306160000,200,412649730
