n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns,maxIter,seed
10,1,8300,61000,268900,39700,277200,100700,200,22648461
10,2,4300,22400,324400,116600,328700,139000,200,22648462
10,3,4700,22400,175400,143800,180100,166200,200,22648463
10,4,4000,35900,129600,28400,133600,64300,200,22648464
10,5,2200,17200,141200,42500,143400,59700,200,22648465
10,6,1900,26800,160200,35200,162100,62000,200,22648466
10,7,2200,16400,151100,27500,153300,43900,200,22648467
10,8,7600,18800,286800,39400,294400,58200,200,22648468
10,9,2900,17600,117800,54700,120700,72300,200,22648469
10,10,2300,20900,155000,65400,157300,86300,200,22648470
10,11,1300,19500,205900,27600,207200,47100,200,22648471
10,12,700,44600,112800,27300,113500,71900,200,22648472
10,13,800,20100,199600,62700,200400,82800,200,22648473
10,14,800,17700,147500,26500,148300,44200,200,22648474
10,15,900,17100,144800,84300,145700,101400,200,22648475
10,16,800,16700,136100,57000,136900,73700,200,22648476
10,17,800,17500,131400,28200,132200,45700,200,22648477
10,18,800,19200,244600,38800,245400,58000,200,22648478
10,19,1200,22300,134900,17200,136100,39500,200,22648479
10,20,700,17000,172200,32500,172900,49500,200,22648480
10,21,1100,22300,200800,25500,201900,47800,200,22648481
10,22,900,17300,162200,16600,163100,33900,200,22648482
10,23,700,16400,131400,35000,132100,51400,200,22648483
10,24,800,17700,204800,26600,205600,44300,200,22648484
10,25,700,16900,151300,22900,152000,39800,200,22648485
10,26,700,19400,175900,76400,176600,95800,200,22648486
10,27,700,16800,104500,30200,105200,47000,200,22648487
10,28,700,16200,137000,104800,137700,121000,200,22648488
10,29,1100,19100,146400,85800,147500,104900,200,22648489
10,30,800,15800,184700,51800,185500,67600,200,22648490
10,31,1700,20900,136300,20800,138000,41700,200,22648491
10,32,800,19200,227700,28200,228500,47400,200,22648492
10,33,800,17200,133300,30800,134100,48000,200,22648493
10,34,800,18000,118200,23900,119000,41900,200,22648494
10,35,800,16800,203100,32400,203900,49200,200,22648495
10,36,700,17500,141800,57100,142500,74600,200,22648496
10,37,900,17100,167700,68200,168600,85300,200,22648497
10,38,1400,18000,177300,49900,178700,67900,200,22648498
10,39,1000,16700,112600,24200,113600,40900,200,22648499
10,40,800,16900,221700,17600,222500,34500,200,22648500
10,41,2200,26800,270200,36500,272400,63300,200,22648501
10,42,2000,35400,229300,48800,231300,84200,200,22648502
10,43,1500,29300,324800,57900,326300,87200,200,22648503
10,44,1000,22800,130600,17800,131600,40600,200,22648504
10,45,700,17100,134500,62000,135200,79100,200,22648505
10,46,800,16100,174300,54700,175100,70800,200,22648506
10,47,700,16800,153500,58500,154200,75300,200,22648507
10,48,700,18000,159400,49100,160100,67100,200,22648508
10,49,1300,19100,122100,38500,123400,57600,200,22648509
10,50,800,17600,185600,43000,186400,60600,200,22648510
10,51,2900,29800,212500,55700,215400,85500,200,22648511
10,52,2000,27900,247500,40700,249500,68600,200,22648512
10,53,1400,26800,388500,94200,389900,121000,200,22648513
10,54,1300,26500,194800,110100,196100,136600,200,22648514
10,55,1300,27800,243000,79000,244300,106800,200,22648515
10,56,1100,17500,175900,36700,177000,54200,200,22648516
10,57,900,17200,180100,55900,181000,73100,200,22648517
10,58,800,19500,187000,34900,187800,54400,200,22648518
10,59,800,16900,142300,34300,143100,51200,200,22648519
10,60,600,19300,204200,29700,204800,49000,200,22648520
10,61,900,66300,175400,30800,176300,97100,200,22648521
10,62,900,16500,1155200,16500,1156100,33000,200,22648522
10,63,1000,17500,128900,29100,129900,46600,200,22648523
10,64,700,16400,140100,41900,140800,58300,200,22648524
10,65,900,19700,319900,58600,320800,78300,200,22648525
10,66,900,17200,161500,35100,162400,52300,200,22648526
10,67,1000,20500,129200,42900,130200,63400,200,22648527
10,68,800,16300,160600,47900,161400,64200,200,22648528
10,69,700,17000,177500,38900,178200,55900,200,22648529
10,70,700,18600,148800,20100,149500,38700,200,22648530
10,71,1000,17700,151700,36000,152700,53700,200,22648531
10,72,800,17100,136400,31000,137200,48100,200,22648532
10,73,600,18700,226300,44800,226900,63500,200,22648533
10,74,1000,17600,138900,56200,139900,73800,200,22648534
10,75,800,16200,161100,25900,161900,42100,200,22648535
10,76,800,16400,102200,10600,103000,27000,200,22648536
10,77,600,15400,145700,17200,146300,32600,200,22648537
10,78,700,15700,147900,31300,148600,47000,200,22648538
10,79,700,16600,111000,19800,111700,36400,200,22648539
10,80,700,15700,109200,9300,109900,25000,200,22648540
10,81,900,17300,171900,36500,172800,53800,200,22648541
10,82,900,17400,120100,36700,121000,54100,200,22648542
10,83,700,16600,102600,36000,103300,52600,200,22648543
10,84,700,16300,158100,44000,158800,60300,200,22648544
10,85,600,17600,173100,25800,173700,43400,200,22648545
10,86,800,16000,149200,33200,150000,49200,200,22648546
10,87,700,17200,211500,21800,212200,39000,200,22648547
10,88,700,16500,126700,25000,127400,41500,200,22648548
10,89,700,16800,86800,58800,87500,75600,200,22648549
10,90,700,16400,106400,26200,107100,42600,200,22648550
10,91,2000,32000,243500,52400,245500,84400,200,22648551
10,92,1700,27000,294700,57300,296400,84300,200,22648552
10,93,1400,26200,201400,54300,202800,80500,200,22648553
10,94,1200,25800,204600,107800,205800,133600,200,22648554
10,95,1300,25200,177900,141300,179200,166500,200,22648555
10,96,1100,17400,178300,38400,179400,55800,200,22648556
10,97,900,19100,181400,38700,182300,57800,200,22648557
10,98,800,16400,82500,23600,83300,40000,200,22648558
10,99,700,16400,136600,21300,137300,37700,200,22648559
10,100,4700,23100,235500,49200,240200,72300,200,22648560
