n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns,maxIter,seed
100,1,15600,4023500,68273500,46826300,68289100,50849800,200,112648731
100,2,10600,2279400,64448100,37358400,64458700,39637800,200,112648732
100,3,12300,2370300,70185300,44293800,70197600,46664100,200,112648733
100,4,10800,2085300,61961400,31645800,61972200,33731100,200,112648734
100,5,11000,2173700,71008000,22640300,71019000,24814000,200,112648735
100,6,15700,2283800,75566300,35861500,75582000,38145300,200,112648736
100,7,10000,2110500,71737000,31968500,71747000,34079000,200,112648737
100,8,9600,2113400,70585800,35361300,70595400,37474700,200,112648738
100,9,9600,2090200,66788200,38914400,66797800,41004600,200,112648739
100,10,10100,2170100,69221100,42375300,69231200,44545400,200,112648740
100,11,8400,2393900,74637200,41189800,74645600,43583700,200,112648741
100,12,10000,2063100,69877100,38681200,69887100,40744300,200,112648742
100,13,8700,2174300,63601600,38929500,63610300,41103800,200,112648743
100,14,9600,2113300,62697300,36021600,62706900,38134900,200,112648744
100,15,9200,2057100,69067300,39779500,69076500,41836600,200,112648745
100,16,10000,2036500,73960700,40881900,73970700,42918400,200,112648746
100,17,13800,2237400,79454200,37378900,79468000,39616300,200,112648747
100,18,10100,2238900,73942000,33185700,73952100,35424600,200,112648748
100,19,9600,2139100,71248500,28174500,71258100,30313600,200,112648749
100,20,10600,2136500,69501200,26111700,69511800,28248200,200,112648750
100,21,9700,2517900,66938300,23358700,66948000,25876600,200,112648751
100,22,10000,2552500,65970600,47123400,65980600,49675900,200,112648752
100,23,14200,2112400,63612200,28179300,63626400,30291700,200,112648753
100,24,12800,2101900,64889100,35719000,64901900,37820900,200,112648754
100,25,9900,2093500,69202000,33317000,69211900,35410500,200,112648755
100,26,9200,2042700,65415300,46130600,65424500,48173300,200,112648756
100,27,9400,2146700,78785700,30042500,78795100,32189200,200,112648757
100,28,9600,2088200,71436200,34171800,71445800,36260000,200,112648758
100,29,9600,2111100,73551000,33161000,73560600,35272100,200,112648759
100,30,9300,2118800,72570700,33770400,72580000,35889200,200,112648760
100,31,9100,2247200,70094000,31418100,70103100,33665300,200,112648761
100,32,26500,2316500,65278900,39577400,65305400,41893900,200,112648762
100,33,10900,2075300,69296100,40981300,69307000,43056600,200,112648763
100,34,9800,2879000,74292300,34894800,74302100,37773800,200,112648764
100,35,15400,2161300,66638000,33806600,66653400,35967900,200,112648765
100,36,18100,2225000,64758100,31358900,64776200,33583900,200,112648766
100,37,8500,2312800,66272900,35793700,66281400,38106500,200,112648767
100,38,10000,2154100,76101500,35857300,76111500,38011400,200,112648768
100,39,9600,2207900,72643900,39480000,72653500,41687900,200,112648769
100,40,9300,4277600,63557500,41398000,63566800,45675600,200,112648770
100,41,11000,2289000,71227700,43077000,71238700,45366000,200,112648771
100,42,10700,2586600,65905900,35320600,65916600,37907200,200,112648772
100,43,10700,2142400,70196000,29074100,70206700,31216500,200,112648773
100,44,20000,2480100,66265000,33611300,66285000,36091400,200,112648774
100,45,10300,2143000,74343100,27146400,74353400,29289400,200,112648775
100,46,9300,2138800,74662500,30703700,74671800,32842500,200,112648776
100,47,10700,2425100,69224600,47910800,69235300,50335900,200,112648777
100,48,10100,2135800,67750500,46017800,67760600,48153600,200,112648778
100,49,9900,2656800,68686800,32098500,68696700,34755300,200,112648779
100,50,10400,2403100,69112300,37525200,69122700,39928300,200,112648780
100,51,10400,2166000,65680800,33052800,65691200,35218800,200,112648781
100,52,9700,2077500,78974300,46674000,78984000,48751500,200,112648782
100,53,10500,2078100,67726900,38327400,67737400,40405500,200,112648783
100,54,9900,2134700,66180700,33548500,66190600,35683200,200,112648784
100,55,11800,2128200,66959900,38887000,66971700,41015200,200,112648785
100,56,13300,2187700,66973600,31581600,66986900,33769300,200,112648786
100,57,10000,2177000,68154400,35510900,68164400,37687900,200,112648787
100,58,9500,2526600,66728100,34034200,66737600,36560800,200,112648788
100,59,8900,2108000,79829000,28568000,79837900,30676000,200,112648789
100,60,10300,2118800,69095200,31702500,69105500,33821300,200,112648790
100,61,9400,2529100,80084900,40224800,80094300,42753900,200,112648791
100,62,9800,2172200,78335400,32658100,78345200,34830300,200,112648792
100,63,10500,2146700,79087400,40428700,79097900,42575400,200,112648793
100,64,11200,2082600,73654600,31177800,73665800,33260400,200,112648794
100,65,9900,2180600,69466400,30224600,69476300,32405200,200,112648795
100,66,9500,2482000,67003300,38944600,67012800,41426600,200,112648796
100,67,10700,3305900,75935600,34822900,75946300,38128800,200,112648797
100,68,10300,2138200,63785900,29284400,63796200,31422600,200,112648798
100,69,10200,2089700,71277100,36677300,71287300,38767000,200,112648799
100,70,10100,2131700,71246700,32615000,71256800,34746700,200,112648800
100,71,9900,2083500,77456400,34312700,77466300,36396200,200,112648801
100,72,10000,2102500,90613200,41286100,90623200,43388600,200,112648802
100,73,10300,2096900,73218800,25086500,73229100,27183400,200,112648803
100,74,11200,2126900,77485700,31237000,77496900,33363900,200,112648804
100,75,10600,2350000,73815700,42737300,73826300,45087300,200,112648805
100,76,11600,2163900,72994100,32368800,73005700,34532700,200,112648806
100,77,12100,2319200,79077900,41322100,79090000,43641300,200,112648807
100,78,10900,2101500,70043700,27323900,70054600,29425400,200,112648808
100,79,10200,2110200,75090700,41521600,75100900,43631800,200,112648809
100,80,13800,2194300,71955200,41698400,71969000,43892700,200,112648810
100,81,8700,2491400,70257800,42693300,70266500,45184700,200,112648811
100,82,9700,2128900,59463600,41309900,59473300,43438800,200,112648812
100,83,11000,2161900,66709000,28283000,66720000,30444900,200,112648813
100,84,9200,2134900,64852600,31279300,64861800,33414200,200,112648814
100,85,13500,2106900,68025600,37283300,68039100,39390200,200,112648815
100,86,9600,2150400,72869100,35534600,72878700,37685000,200,112648816
100,87,12400,2160600,74063800,39698200,74076200,41858800,200,112648817
100,88,12000,2307400,66612300,27446600,66624300,29754000,200,112648818
100,89,7800,2198800,72748500,39044300,72756300,41243100,200,112648819
100,90,10600,2154400,82662800,38033700,82673400,40188100,200,112648820
100,91,9200,2130700,66972300,42840900,66981500,44971600,200,112648821
100,92,9600,2242100,70151000,47651500,70160600,49893600,200,112648822
100,93,11500,2420800,67824500,31846300,67836000,34267100,200,112648823
100,94,10400,2107500,70584200,48558400,70594600,50665900,200,112648824
100,95,10800,2459800,77166900,33670200,77177700,36130000,200,112648825
100,96,10600,2069200,63746300,31589200,63756900,33658400,200,112648826
100,97,10200,2173500,67453000,41469300,67463200,43642800,200,112648827
100,98,10500,2132900,74245100,33411500,74255600,35544400,200,112648828
100,99,9600,2116100,74393600,26504800,74403200,28620900,200,112648829
100,100,9800,2046500,67878800,42451300,67888600,44497800,200,112648830
