n,run,thetaNO_ns,thetaBH_ns,tNO_ns,tBH_ns,totalNO_ns,totalBH_ns
20,123,2400,48300,5737500,786000,5739900,834300
20,124,1900,68300,6265000,1252400,6266900,1320700
20,125,2300,51400,4941100,1437100,4943400,1488500
20,126,2600,50500,5091100,1001200,5093700,1051700
20,127,2000,47500,6221900,1159300,6223900,1206800
20,128,2000,44900,5959400,1602000,5961400,1646900
20,129,2400,48600,6340400,982300,6342800,1030900
20,130,2200,44700,5755300,819700,5757500,864400
20,131,3100,50400,4905900,912900,4909000,963300
20,132,1900,47700,5330500,2519000,5332400,2566700
20,133,3500,67200,6636200,1077900,6639700,1145100
20,134,2000,47100,6221800,1639400,6223800,1686500
20,135,2000,45900,5743600,894300,5745600,940200
20,136,2100,45200,7572200,1378400,7574300,1423600
20,137,2100,49200,6538700,1784200,6540800,1833400
20,138,2200,50300,8142600,1613800,8144800,1664100
20,139,16500,60100,6266800,1269000,6283300,1329100
20,140,1900,44600,5017900,1771500,5019800,1816100
20,141,2600,46200,5757300,1661300,5759900,1707500
20,142,2200,49800,5299300,777400,5301500,827200
20,143,2600,51000,5174600,1140700,5177200,1191700
20,144,2000,45800,5537600,717500,5539600,763300
20,145,2000,51000,5446000,1077400,5448000,1128400
20,146,2500,48700,4990800,1193800,4993300,1242500
20,147,2300,67400,5825000,1331900,5827300,1399300
20,148,2200,47900,6245300,1294100,6247500,1342000
20,149,2200,48600,4906900,1407000,4909100,1455600
20,150,2600,51100,5657500,1648600,5660100,1699700
20,151,2100,49600,5272600,2959300,5274700,3008900
20,152,3100,45500,5954200,1166700,5957300,1212200
20,153,2200,48000,5843400,1454900,5845600,1502900
20,154,2600,50000,6362100,1068400,6364700,1118400
20,155,2600,47500,5484900,1131200,5487500,1178700
20,156,2600,50000,6109100,1253700,6111700,1303700
20,157,2400,49500,5121700,706300,5124100,755800
20,158,2500,48500,6590900,1579100,6593400,1627600
20,159,2200,48000,5821500,1511200,5823700,1559200
20,160,2600,50800,5752400,1096200,5755000,1147000
20,161,2600,47100,5520900,1270600,5523500,1317700
20,162,4400,49400,5438500,1411400,5442900,1460800
20,163,2500,46100,4536000,718300,4538500,764400
20,164,2400,49600,5419100,1107200,5421500,1156800
20,165,2200,47100,5258300,966300,5260500,1013400
20,166,2300,52300,4230700,593300,4233000,645600
20,167,2000,52100,5631300,1150700,5633300,1202800
20,168,6000,46600,5105200,1172100,5111200,1218700
20,169,2300,45000,6545100,1658100,6547400,1703100
20,170,1900,46000,5483900,1111500,5485800,1157500
20,171,2700,48100,5104500,1273700,5107200,1321800
20,172,2000,50200,4530200,799000,4532200,849200
20,173,2000,47300,4881100,1358900,4883100,1406200
20,174,1900,46300,4667400,1183500,4669300,1229800
20,175,1700,48600,4979500,1787400,4981200,1836000
20,176,2300,48500,4878800,1398500,4881100,1447000
20,177,2000,49200,7522700,2150500,7524700,2199700
20,178,2400,50000,5406700,1244700,5409100,1294700
20,179,2500,44700,6404100,1914800,6406600,1959500
20,180,2500,45400,5346800,985200,5349300,1030600
20,181,2100,45400,6062600,1362200,6064700,1407600
20,182,2000,45600,5172800,974100,5174800,1019700
20,183,2000,48200,5620100,977400,5622100,1025600
20,184,2200,46400,5947400,585200,5949600,631600
20,185,2100,49000,4777600,1132700,4779700,1181700
20,186,2100,49700,5279000,1355500,5281100,1405200
20,187,2000,48200,4543600,1147800,4545600,1196000
20,188,2100,51700,4438000,985200,4440100,1036900
20,189,2000,47700,5160000,1487200,5162000,1534900
20,190,2100,50000,6167100,1256200,6169200,1306200
20,191,1700,50200,5886200,663100,5887900,713300
20,192,2200,49000,4683700,1056300,4685900,1105300
20,193,2100,45300,4604600,1062100,4606700,1107400
20,194,1800,46100,4367200,1022500,4369000,1068600
20,195,2400,48300,5625600,532300,5628000,580600
20,196,2100,48400,5916400,1713500,5918500,1761900
20,197,2300,51600,5741000,1028900,5743300,1080500
20,198,2000,47500,4433200,1286800,4435200,1334300
20,199,2100,46400,5723900,1374900,5726000,1421300
20,200,2200,46900,6156400,1471000,6158600,1517900
